symbol,from_regime,to_regime,timestamp
APPS,Bear,Neutral,2025-10-24T17:04:42.425330
CSIQ,Bull,Neutral,2025-10-24T17:04:42.666998
ARQQ,Bear,Neutral,2025-10-24T17:04:42.953504
